review,word_count,text_length,cluster_label
"সিনেমায় চরিত্রগুলোর সম্পর্ক সাধারণভাবে দেখানো হয়েছে, খুব বেশি আবেগপূর্ণ নয়।",10,78,0
"সামাজিক বার্তা খুব বড় কিছু না, হালকা ভাবে আছে।",9,46,0
"গল্পের থিম পরিষ্কার, তবে বেশি আকর্ষণ নেই।",7,41,0
গল্পটি সহজ হলেও বার্তাটি শক্তিশালী এবং ইতিবাচক।,7,47,0
সেট ও লাইটিং অস্পষ্ট।,4,21,1
সিনেমার লাইটিং অনেক দৃশ্যে চোখে কষ্ট দেয়।,7,41,0
কিরে ভাই। ভুতের মুভি দেখে হাসি আসে কেন,8,38,1
এই রে বাবা তোদেরকে কে বলেছে এই ইন্ডাস্ট্রিতে আসতে অভিনয় করতে আগে শিখে আয় ভালো হবে,16,83,1
"সেট ডিজাইন সাধারণ, গল্পের পরিবেশের সঙ্গে মানানসই।",7,49,0
সংলাপ অনেকটা বাস্তবধর্মী ছিল।,4,29,0
"সিনেমার বার্তা ঠিক আছে, তবে গভীর নয়।",7,37,0
ট্রানজিশনগুলো বেশিরভাগ জায়গায় নরমাল।,4,36,1
"কোনো বড় ভুল চোখে পড়েনি, তেমন বড় চমকও না।",9,40,1
আধুনিক বাংলা চলচ্চিত্র শুধুই বিনোদন।,5,36,2
সিনেমার প্লটটা সহজ হলেও উপস্থাপনাটা দারুণ। অভিনেতাদের সংলাপ বলার ধরন এবং এক্সপ্রেশন দেখে বারবার মনে হয়েছে তারা চরিত্রের মধ্যেই বাস করছে।,21,136,0
ভালো লাগছে বাঘের ব্যাপারে,4,25,1
যেসব বিষয়কে গুরুত্বপূর্ণ হিসেবে দেখানো হয়েছে সেগুলোরই সঠিক ব্যাখ্যা নেই।,10,74,0
"সিনেমায় হঠাৎ করে কোনো পরিবর্তন আসেনি, ধীর গতি বজায় ছিল।",10,55,0
"সিনেমার মূল বার্তাটা স্পষ্ট ছিল, তবে খুব গভীর না।",9,49,0
সিনেমার অ্যাকশন দৃশ্য খুব সাধারণ এবং উজ্জ্বলতা নেই।,8,51,0
চরিত্রগুলোর অভিনয় প্রায়শই অপ্রাকৃতিক এবং অসংলগ্ন।,6,51,0
কোনো দৃশ্যেই তেমন আবেগ অনুভব হয় না।,7,36,0
"অভিনেতা-অভিনেত্রীরা সঠিকভাবে ডায়লগ দিয়েছে, তবে প্রাণ ছিল কম।",9,62,0
কালার টোন কিছুক্ষেত্রে সুন্দর লাগলেও সব দৃশ্যে একরকম লাগে নি।,10,61,0
"ফাইনাল রেজোলিউশনটা সহজ ছিল, বেশি জটিল করা হয়নি।",8,48,0
"গল্পের গতি মাঝারি—না ধীর, না দ্রুত।",7,35,0
হাইস্বকর অভিনয় এবং কাহিনি,4,25,1
আমি টেনেটুনে দুই মিনিটের নিচে শেষ করছি। এত সুন্দর ছবি আর নেই। তাই তাড়াতাড়ি শেষ করছি,16,85,1
"বন্ধুত্ব,প্রেম,মাতৃত্ব - জীবনের বিভিন্ন অনুভূতির মিশ্রনে একটি অসাধারণ বাংলা ছবি। প্রতিটি শিল্পীর সাবলীল অভিনয় , সুন্দর পরিচালন, মনোমুগ্ধকর সঙ্গীত আর সর্বোপরি শ্রদ্ধেয় সৌমিত্র চট্টোপাধ্যায়ের অপরূপ অভিনয় ও কবিতা পাঠ এই ছবিটিকে নিঃসন্দেহে এক বিশেষ পর্যায়ে উন্নীত করেছে।",37,271,2
সিনেমার শিরোনাম গল্পের সাথে সামঞ্জস্যপূর্ণ কিন্তু আকর্ষণীয় নয়।,8,64,0
গানগুলো সিনেমার পরিস্থিতির সঙ্গে মানানসই ছিল।,6,45,0
"সিনেমার প্লট ধারণা অনুযায়ী চলেছে, কোনো চমক দেয়নি।",8,49,0
সিনেমার একাধিক দৃশ্য একই ধরনের ছিল।,6,35,0
এদের যে কি হবে রে বাবা আর হচ্ছে না আর পারছি না এদেরকে,13,53,1
আমি খুবই আগ্রহ নিয়ে মুভিটা দেখছিলাম তবে যে শিক্ষা পেলাম আর না,12,62,2
"সিনেমার বার্তা বোঝা সহজ, তবে নতুনত্ব নেই।",7,41,0
সিনেমার অ্যাকশন দৃশ্য উত্তেজনাপূর্ণ।,4,36,0
আহা কোন অশ্লীলতা ছাড়া সিনেমাটি কত সুন্দর!,7,42,2
অনেক ভালো লাগছে,3,15,1
বাজে ছেলে না।তার চেড়া ছেলে।কি বলে এগুলাকে ছবি করতে।লেজ সোজা করে এখনো কথা বলতে পারেনা,18,85,1
ছবিটা ইতিহাস হয়ে থাকবে আজীবন,5,28,2
অনেক সুন্দরী পরীমনি অভিনয় খুব ভালো করেন,7,39,1
কিছু দৃশ্য খুব ধীরে এগোচ্ছে মনে হয়েছে।,7,39,0
চরিত্রগুলো খুবই রিয়েল মনে হয়েছে।,5,32,0
সিনেমার মোড় ঘোরা দৃশ্যগুলো অনুপস্থিত ছিল।,6,41,0
নায়িকার হাসির ওপর ক্রাশ,4,23,1
অসাধারণ একটি সিনেমা,3,19,2
ক্যামেরার অসংলগ্ন অ্যাঙ্গেল অনেক জায়গায় দৃশ্যগুলোকে বিরক্তিকর করে তুলেছে।,9,75,1
ক্যামেরার কাজ এত ভালো যে প্রতিটি শটের ভিজ্যুয়াল আলাদা সৌন্দর্য বহন করে।,12,72,1
সিনেমার পারফরম্যান্স খুব নিরপেক্ষ।,4,34,0
এই আধুনিক যুগে আমি এই যুগের মেয়ে হয়ে ও এইসব ছবি দেখতে ভালো লাগে। আজ এই ছবি দেখে প্রচুর কান্নাও করেছি,21,100,2
"কিছু ভুল আর ভুল বুঝাবুঝি একটি সংসারকে অশান্তি এনে দেয়,এসব মেনে আমাদের মানব জীবন গড়ে তোলা উচিত। ছবির গল্পটা খুব সুন্দর।",22,118,1
সুস্থ মানুষ কখনোই এই সমস্ত ছবি দেখবে না যেহেতু বাপ্পি আছে,11,57,1
হাস্যরস এবং নাটকীয়তা খুব ভালোভাবে ব্যালান্স করা হয়েছে।,8,56,0
এই ছবিতে হিরোইন ভালো লাগে না,6,28,1
গানগুলো মন ছুয়ে যাবে,4,20,1
এটা কোনো ছবি হয়েছে।,4,19,2
গান আর গল্প দুটোই সুন্দর।,5,25,0
সিনেমার গল্পটা খুব একটা নতুন না হলেও বুঝতে কোনো অসুবিধা হয়নি। সবকিছু সাধারণভাবে উপস্থাপন করা হয়েছে।,16,99,0
নায়িকার জায়গায় মাহিয়া মাহি থাকলে আরও সুন্দর হতো,8,47,1
মাগা অনন্ত জলিল,3,15,1
"গল্প যে থিমে শুরু হয়েছিল, শেষে গিয়ে তা সম্পূর্ণ ভুল পথে চলে যায়।",13,66,0
ছবির কোনো বিশেষ মুহূর্ত খুব আলাদা মনে হয়নি।,8,43,0
ফিল্মের সেট ডিজাইন ভালো হলেও বাস্তবতার অভাব ছিল।,8,48,0
"সিনেমার সময়কাল একটু বেশি লেগেছে, তবে সহ্য করা গেছে।",9,52,0
গল্পে যুক্তি খুঁজতে গেলে পুরো সিনেমার কাঠামোই ভেঙে পড়ে।,9,56,0
"সিনেমার বার্তা পরিষ্কার, তবে কিছু অংশে অতিরিক্ত তথ্য দেওয়া হয়েছে যা গল্পের সঙ্গে তেমন মানায় না।",16,98,0
সংলাপগুলো এমনভাবে লেখা যেন পুরনো সিরিয়াল থেকে তুলে আনা।,9,56,1
কোন চরিত্রটা আসলে গুরুত্বপূর্ণ—এটা বোঝতেই সময় নষ্ট হয়েছে।,9,59,1
"গল্পটা কিছুটা প্রেডিক্টেবল ছিল, কিন্তু উপস্থাপন ভদ্রস্থ।",7,56,0
"গল্পে নতুনত্ব নেই, তবে দেখার সময় সমস্যা হয়নি। সংলাপ ও চরিত্র ঠিক আছে, মিউজিক গল্পের সঙ্গে মানানসই।",17,100,0
মিউজিক গল্পের সাথে মিলছে না।,5,28,0
! কি আর বলব এই পাগলা বাংলাদেশটাকে,6,33,1
শুরু থেকে শেষ পর্যন্ত গতিটা প্রায় একরকম ছিল।,8,45,0
এক কথায় অসাধারণ,3,15,1
চরিত্রের পোশাক ও সেট ডিজাইন সাধারণ মানের।,7,41,0
সুন্দর ছবির মতো সুন্দর ছবির গানও খুব ভালো।,8,42,2
ব্যাকগ্রাউন্ড স্কোর গল্পের আবহকে সমর্থন করেছে।,6,46,1
সিনেমার ভিজ্যুয়াল টোন মনোমুগ্ধকর নয়।,5,38,0
ভিজ্যুয়াল এবং ব্যাকগ্রাউন্ড স্কোর গল্পের সঙ্গে যথাযথভাবে মানানসই।,8,66,1
আমার জীবনে দেখা সেরা ছবি মান্না ভাই আপনি একজন লিজেন্ড। বাংলা চলচিত্রে একজন ই মান্না ছিলো।,16,89,1
সিনেমার থিম দুর্বল এবং বার্তা অসম্পূর্ণ।,6,40,0
অভিনয় ভালো হলেও স্ক্রিনপ্লেতে আলাদা কিছু ছিল না।,8,49,0
"সিনেমায় কোনো বিশেষ বার্তা ছিল না, শুধু একটানা একটি কাহিনি।",10,58,0
গল্পের টার্নিং পয়েন্টগুলো খুব বড় না।,6,38,0
আমি একটি সুন্দর ছবি দেখেছি। সত্যজিৎ রায়ের সৃষ্টি অবশ্যই এরকম। অনুপকুমার এবং সব্যসাচীর অভিনয় অনবদ্য।,15,101,2
"গানের সংখ্যা কম, যা আছে তা গল্পকে বাধা দেয়নি।",9,46,0
লোকেশনগুলো গল্পকে যথেষ্ট সাপোর্ট দিয়েছে।,5,40,0
"সিনেমার কিছু অংশ ভালো ছিল, কিছু অংশ খুবই সাধারণ।",9,48,0
আমি মনে করি অনন্ত জলিল একজন মহান নায়ক,8,38,1
অসম্ভব কে সম্ভব করে অভিনয়টা কে শিখতে হবে অন্তত সাহেব,10,52,1
এই হোলো নারী স্বাধীনতা। যেখানে মা ছেলেকে চেনেনা। হা হা হা। ভারত রে ভারত।,14,72,1
"গল্প সরল, বিশেষ কোনো চমক নেই। সিনেমার টেম্পো মাঝে মাঝে ধীর, চরিত্রগুলো ঠিক আছে। মিউজিক এবং প্রোডাকশন মান ঠিকঠাক। সংলাপ স্বাভাবিক।",21,129,0
পরিচালক পেলেন না নায়ক,4,22,1
সিনেমার প্রেক্ষাপট শহর কেন্দ্রিক হলেও আলাদা কিছু মনে হয়নি।,9,58,0
বাংলা চলচ্চিত্রের পর্দায় যতগুলো চলচ্চিত্র নির্মিত হয়েছে তার মধ্যে বেদের কন্যা জ্যোৎস্না অন্যতম বিখ্যাত। কালের বিবর্তনে আজ এই চলচ্চিত্রগুলো হারিয়ে গেলেও হাজার বছর পরেও এই চলচ্চিত্রগুলোর বাস্তব অভিনয় সকলের হৃদয়ে গেঁথে থাকবে।,32,227,1
সিনেমার লাইটিং অনেক ক্ষেত্রে অস্বাভাবিক ও অপ্রাকৃতিক।,7,53,0
"মুভিটা অনেক লম্বা লাগছিল, কাটছাঁট করলে ভাল হতো।",8,47,2
"সিনেমার শুরু আকর্ষণীয়, কিন্তু মাঝের অংশে কিছুটা ধীর মনে হয়েছে। চরিত্র বিকাশ মাঝারি, সংলাপ স্বাভাবিক। একবার দেখার মতো।",18,119,0
মুভিটা মোটামুটি সময় কেটে যাওয়ার মতো।,6,38,2
এর থেকে বাজে ছবি আর হয় না,7,25,1
পোস্টারের তুলনায় সিনেমার টোন একটু ভিন্ন মনে হয়েছে।,8,52,0
"সিনেমার কিছু অংশ ঠিকঠাক, কিছু কিছু দৃশ্য অপ্রয়োজনীয় মনে হয়েছে।",10,63,0
এট মুভিটা আজকে প্রথম দেখলাম। মুক্তিযোদ্ধাদের প্রতি ভালোবাসা টা আরো বেরে গেল,12,75,2
গানের সময় নির্বাচন এতই বেমানান যে গল্পের পরিবেশ পুরো ভেঙে দেয়।,11,64,0
"সিনেমার ভাষা সহজবোধ্য ছিল, কঠিন কিছু ছিল না।",8,44,0
"ওহ মাই গড, বাংলাদেশে এমন সিনেমা হয় জানতাম না।",9,46,2
"সিনেমার শুরুর দিকটা ভালো, শেষে কিছুটা হঠাৎ।",7,43,0
"মুভির রিদম একেবারেই প্রাকৃতিক, গল্পের সাথে ব্যাকগ্রাউন্ড মিউজিক পুরোপুরি মানিয়েছে। চরিত্রগুলোর এক্সপ্রেশন এবং সংলাপ এত বাস্তব যে দর্শক সহজেই আবেগে যুক্ত হয়। সিনেমার লোকেশন, সেট ডিজাইন এবং লাইটিং গল্পের আবহকে আরও প্রাণবন্ত করেছে।",33,230,0
হাতি আর মশার ভালোবাসা,4,21,1
সংলাপ এবং মিউজিক একত্রে দর্শকের আবেগকে বাড়িয়ে দিয়েছে।,8,56,0
গল্পটা অনেকটা প্রেডিক্টেবল ছিল।,4,31,0
"সিনেমার ভিজ্যুয়াল ঠিক ছিল, কিন্তু আবেগের দিকটা দুর্বল।",8,55,0
"সিনেমাটা খুব সিরিয়াস না, আবার খুব হালকাও না—মাঝামাঝি।",9,54,0
একটা ভাল মনের মানুষ না হলে এমন সিনেমা বানাতে পারে না এমন সিনেমা খারাপ মানুষ গুলোর জন্য একটি মেসেজ ধন্যবাদ পরিচালক কে,22,116,1
"সেট ডিজাইন সাধারণ, খুব বড়ো নয়, তবে গল্পের পরিবেশের সঙ্গে মানানসই।",11,67,0
"খুব কম আবেগ পুরো সিনেমা জুড়ে কাজ করেছে, কিন্তু এটা একঘেয়ে ছিল না.",13,67,0
এই মুভিটা তেলেগু সিনেমা বোমারিলু থেকে কপি করা,8,45,1
অসাধারণ একটি মুভি,3,17,2
বেশ মজার বই অসাধারণ অভিনয়,5,25,1
কি চমৎকার একটা মুভি। শুরু থেকেই কাহিনি বুঝতে পারলাম,9,51,2
"না তো ভালো অভিনয় আছে, ভালো ডায়লগ। না তো তার কন্ঠস্বর। যেন মঞ্চে যাত্রা পালা হচ্ছে। যাত্রাপালা বললেও গ্রামবাংলার ঐতিহ্যগত যাত্রাপালারও অপমান হবে।",23,144,1
"ছবির মধ্যে বার্তা ছিল, কিন্তু সেটা খুব জোরালো ছিল না।",10,53,0
আচলকে কেন সিনেমা তে নেয়া হলো।অভিনয় পারে না।এক্সপ্রেসনলেস,10,56,1
"সিনেমার টোন শান্ত এবং স্থির, কোনো হঠাৎ উত্তেজনা বা চমক নেই।",11,59,0
আমার জীবনের দেখা সবচেয়ে নিখুঁত একটা সিনেনা,7,42,1
গল্পের সেটআপ সহজ।,3,17,0
ভিলেন চরিত্রটা তেমন শক্তিশালী না হলেও গল্পে তার উপস্থিতি গ্রহণযোগ্য ছিল।,11,72,0
"অভিনয় ঠিকঠাক, কোনো অতিরিক্ত ঝলক নেই।",6,37,1
"মুভিটাই খুবই সুন্দর, কিন্তু শেষে স্বামী-স্ত্রীর সম্পর্ক টা থাকলো কি থাকলো না... সেটা কিছু বোঝা গেলো না",18,102,2
গল্পের আবেগটা খুবই রিয়েল লাগছিল।,5,32,0
"গল্পের লজিক ঠিক আছে, কোনো বড় ফাঁক নেই।",8,39,0
"মুভিটির গল্পে অনেক বাস্তবধর্মী অংশ রয়েছে, তবে সম্পূর্ণ বাস্তবসম্মত নয়।",10,72,0
গল্পে ছোট ছোট আবেগপূর্ণ মুহূর্তগুলোই সত্যিকার সৌন্দর্য তৈরি করেছে।,9,66,0
"সিনেমা সংযমী, সুষম অভিজ্ঞতা দেয়।",5,33,0
সিনেমায় শিশু অভিনেতাদের ব্যবহার করা হলেও গল্পে গুরুত্বপূর্ণ ভূমিকা রাখেনি।,10,75,0
এতো জটিল এক মাথায় ধরবেনা,5,24,1
বিশ্বের বুকে ইতিহাস হয়ে থাকবে এই আম্মাজান সিনেমা টা,9,51,1
"কিছু সংলাপ ভালো ছিল, কিছুটা কৃত্রিম মনে হয়েছে।",8,47,0
ফালতু সিনেমা আগা মাথা কিছুই নাই,6,31,1
এ সিনেমাকে জাতীয় জাদুঘরে রাখা অনুরোধ জানাচ্ছি।,7,46,2
বুঝলাম না ভাই এমনটাও কি বাস্তবে হয়,7,34,1
শেষটা অসমাপ্ত রয়ে গেছে,4,22,1
মায়ের প্রতি অনুরাগের শ্রেষ্ঠতম প্রতিচ্ছবি মুভিটা। আমি মনে করি বাংলা চলচ্চিত্রের ইতিহাসে এটাই সর্বোচ্চ আবেদন সৃষ্টিকারী মুভি।,17,124,2
দুর্দান্ত ব্যবস্থাপনা - পুরো টিমকে স্যালুট।,5,43,1
সিনেমার প্রতিটি দৃশ্য যেন অদ্ভুতভাবে কেটে জোড়া দেওয়া।,8,55,0
এই ছবিটি সত্য দেখায়,4,20,2
সিনেমায় একঘেয়ে সংলাপ কিছুটা বেশি।,5,35,0
বেশিরভাগ চরিত্রের অভিনয় খুব কৃত্রিম মনে হয়েছে।,7,48,0
ক্যামেরার মুভমেন্ট অনেক দৃশ্যে অযথা হিজিবিজি।,6,45,1
মুভিটি খুবই ভয়ংকর। বাচ্চারা দেখা থেকে দূরে থাকুক,8,49,2
সিনেমার পার্শ্ব চরিত্ররাও গল্পে বলিষ্ঠ ভূমিকা পালন করেছে।,8,57,0
গাধা না হলে কেউ পুরাটা দেখবে না,7,31,1
সিনেমার মূল বার্তা এতটা অস্পষ্ট যে শেষেও বোঝা যায় না আসলে কি বলতে চেয়েছে।,14,75,0
সংলাপ কৃত্রিম এবং অসংলগ্ন।,4,26,1
"গল্পের কাঠামো সহজ, নতুনত্ব খুব বেশি নয়, তবে একঘেয়ে মনে হয়নি।",11,63,0
বড় কোনো প্লটহোল চোখে পড়েনি।,5,29,1
অসাধারণ অসাধারণ ছবি,3,19,1
সিনেমার শুরু থেকে শেষ পর্যন্ত একটা মজার রোলার কোস্টার।,9,54,1
"মুভিটি খুব বেশি সেন্টিমেন্টাল ছিল না, তবে অত্যধিক সম্মানজনক ছিল না।",11,67,0
"সিনেমা শেষে মনে হয়েছে, একটা সাধারণ গল্প দেখলাম।",8,48,0
সিনেমার ব্যাকগ্রাউন্ড স্কোর গল্পের সঙ্গে মিলায়নি।,6,49,0
"সংলাপগুলো স্বাভাবিক, কোনো অতিরিক্ত আবেগ নেই।",6,44,0
"সিনেমার আবহ এবং মুড প্রায় পুরো সময় ধরে একরকম, যা খুব বেশি উত্তেজনাপূর্ণ না হলেও খুব বিরক্তিকরও নয়।",18,101,0
চমৎকার একটি সিনেমা,3,18,2
গল্পের চরিত্রগুলোর ব্যাকগ্রাউন্ড বোঝা যায়নি।,5,45,0
বেশ ভালো সিনেমা। পরিচ্ছন্ন ও নিটোল গল্প বলা হয়েছে। আর সন্ধ্যা রায়ের অভিনয় অনবদ্য। বাকিরাও যথাযথ।,16,99,1
"অসাধারণ অভিনয় এবং খুব সুন্দর একটা গল্প, পরিচালক খুব সুন্দর ভাবে বোঝাতে পেরেছেন, অনেক অনেক ধন্যবাদ জানাই।",17,104,2
"গল্প পরিকল্পনা মোটামুটি, খুব আলাদা কিছু নয়।",7,44,0
ভাই এখনো যারা শুরু কর নি মুভিটা দেখা তারা তাদের সময় বাচাতে চাইলে আর দেইখোও না।,16,78,2
"চরিত্রগুলোর সিদ্ধান্তগুলো একদম অযৌক্তিক ছিল, ফলে গল্প বিশ্বাসযোগ্য হয়নি।",9,73,0
সংলাপগুলো অনেক সময় অর্থহীন হয়।,5,32,1
ছবির কলাকুশলীদের কাজ মোটামুটি ভালো ছিল।,6,39,0
মাধুরি অনেক দক্ষ অভিনয় করে,5,26,1
এগুলো কি ভাই? বোকা,4,18,1
"সমস্যার সংকট তৈরি হয়, কিন্তু সমাধান আসে অসংগতভাবে।",8,51,1
"সিনেমার গল্পটা ছিল সহজ, কোনো জটিলতা ছাড়াই।",7,43,0
"বাংলা ছবির বাংলা নামের বানান ভুল, ভাড়াটে হবে",8,45,1
অনেক দিন পর একটা অসাধারণ বাংলা সিনেমা দেখলাম। মনটা ভরে গেল। আরো এরকম অনেক দেখার আশায় রইলাম।,17,92,2
"চলচ্চিত্রটি পরিবেশ তৈরি করতে ব্যর্থ হয়, যার ফলে কোনো টেকসই আবেগ থাকে না।",13,73,0
ছবির প্রথম অংশ খুব ধীর এবং একঘেয়ে; দেখার আগ্রহ কমে যায়।,11,57,0
মুভির ক্লাইম্যাক্সে কোন চমক ছিল না কিন্তু সাসপেন্স ছিল।,9,55,0
"চরিত্রদের আবেগের প্রদর্শন সাধারণ—না অত্যধিক তীব্র, না একদম ফ্ল্যাট।",10,67,0
বুঝি না এখন আর আগের মতো সিনেমা দেখে কান্না করতে চাইলেও কান্না আসে না,14,68,1
"প্রথমেই ধন্যবাদ পরিচালককে,,, নাটকটি অসাধারণ এবং চঞ্চল ভাই আপনাকে উপহার দিয়েছেন,,, অসাধারণ",12,90,1
"সংলাপগুলি বাস্তব ছিল, কিন্তু প্রভাবের অভাব ছিল।",7,47,0
ডিজিটাল মুভি বালো লাগেনা,4,24,1
প্লট খুবই অপ্রচলিত।,3,19,1
ভালো মুভি পরিমণি,3,16,2
সিনেমার কাঠামো পুরোপুরিই এলোমেলো।,4,33,0
"সিনেমাটোগ্রাফি খারাপ না, আবার দুর্দান্তও না।",6,44,0
গ্র্যামের ছবি অসাধারণ একটা ছবি,5,30,1
ছবিটি বাংলাদেশের চলচ্চিত্রের জন্য অভিশাপ।,5,41,2
অশ্লীলতা বাংলাদেশের সিনেমা কে নষ্ট করে দিয়েছে,7,46,1
আমার কল্পনার বাইরে ছিল এই মুভি। সমাপ্তি তে আমিতো অবাক,10,53,2
"গল্পের থিম পরিষ্কার, তবে নতুনত্বের অভাব আছে। প্রোডাকশন মান ঠিকঠাক, ভিজ্যুয়াল এবং মিউজিক সাধারণ।",14,96,0
সংলাপ স্বাভাবিক এবং বাস্তবসম্মত।,4,32,0
"গানগুলো কানে লেগেছে, তবে মনে গেঁথে যায়নি।",7,41,0
নায়ক-নায়িকার সম্পর্ক ভারসাম্যপূর্ণ ও স্বাভাবিক।,6,49,0
ছবিতে চেনা মুখ বলতে রবি কিষেণ। তাছাড়া সব্বাই নতুন মুখ।,10,55,1
"সিনেমার একটি দৃশ্য ভালো লেগেছে, বাকিগুলো সাধারণ।",7,48,0
সংলাপ ও মিউজিক দর্শকের আবেগকে আরও প্রগাঢ় করেছে।,8,48,0
সত্যিই ছবিটা অনেক সুন্দর বাস্তবের সাথে অনেক কিছু মিল আছে ছবিটা দেখে আমার চোখের জল ধরে রাখতে পারে নি,19,99,2
"সিনেমাটির সাউন্ডডিজাইন ঠিক ছিল, কিন্তু নিস্পৃহ।",6,47,0
অসাধারণ একটি ছবি বাংলাদেশে এরকম ছবি তৈরি হবে কল্পনাও করিনি। আসা করি ভবিষ্যতে এরকম অথবা এরচেয়েও ভালো চমৎকার ভালো ছবি তৈরি হবে।,22,125,2
"চরিত্রদের আবেগের প্রকাশ মাঝারি, খুব বেশি নাটকীয় নয়, ফলে গল্প বাস্তবসম্মত এবং ভারসাম্যপূর্ণ।",13,93,0
"কিছু দৃশ্য কার্যকর, কিছু অতিরিক্ত মনে হয়।",7,42,0
এটাই তো সেই পাপমুক্ত সিনেমা,5,27,2
সিনেমাটি একবার দেখলে দ্বিতীয়বার আর দেখতে চাইবেন না।,8,52,2
বাংলা চলচ্চিত্রের ধ্বংসের অন্যতম কারণ: একচেটিয়া গরীব ধনীর প্রেমের গল্প।,10,72,1
ওরে বাবারে গুলি কোরলে মানুষ উড়ে যাই নাকি জানতাম নাতো,10,52,1
ভাই নতুন কিছু দেখুন,4,19,1
গল্পের ভেতরে গ্যাপ আছে; যেন অনেক তথ্য অনুপস্থিত।,8,48,0
"পরিচালনা দুর্বল না, আবার শক্তিশালীও নয়।",6,39,0
অসাধারণ একটি মুভি বাস্তবতার সাথে অনেক মিল আছে। আর যারা গার্মেন্টস ফ্যাক্টরিতে কাজ করেন তারা এরকম বাস্তবতার অনেক সম্মুখীন হয়।আমিও দেখেছি।,22,137,2
আমার দেখা সেরা বাংলা সিনেমা এটা। আমার একটুও মনে হয়নি উনারা অভিনয় করছেন।। এটা কোনো চলচ্চিত্র না এটা ঐ সময়ের বাস্তবচিত্র।,21,119,2
"সিনেমার গ্রাফিক্স ঠিক ছিল, কিন্তু চমকপ্রদ না।",7,45,0
অনেক বাজে সিনেমা,3,16,2
